respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q35a_low_income_programs,q35b_social_security_age,q35c_education_cuts,q35d_mortgage_deduction,q35f_investment_income_tax,q35g_medicare_high_income,q35h_defense_cuts,q35j_student_loans,q35k_corporate_deductions,q35m_high_income_tax,q35n_scientific_research
sample_en_pew_policy_topline_fiscal_hawks___base___0127,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0128,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve,Disapprove,Don't know,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0129,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0130,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Disapprove,Approve,Don't know,Don't know,Don't know,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0131,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Disapprove,Don't know,Approve,Disapprove,Approve,Don't know,Don't know,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0132,fiscal_hawks,Fiscal hawks,,base,mainstream,Don't know,Approve,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0133,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Don't know,Don't know,Don't know,Approve,Disapprove,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0134,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Don't know,Don't know,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0135,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Approve,Approve,Approve,Approve,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0136,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Don't know,Don't know,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0137,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Disapprove,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0138,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Don't know,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0139,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Disapprove,Approve,Don't know,Disapprove,Don't know,Approve,Disapprove,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0140,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Don't know,Disapprove,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0141,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Don't know,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0142,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Don't know,Disapprove,Don't know,Disapprove,Don't know,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0143,fiscal_hawks,Fiscal hawks,,base,mainstream,Don't know,Disapprove,Disapprove,Don't know,Don't know,Approve,Disapprove,Don't know,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0144,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0145,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0146,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Approve,Disapprove,Approve,Disapprove,Approve,Don't know,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0147,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Disapprove,Don't know,Disapprove,Don't know,Disapprove,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0148,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Disapprove,Disapprove,Don't know,Disapprove,Don't know,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0149,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Disapprove,Disapprove,Approve,Disapprove,Don't know,Approve,Don't know,Approve,Don't know,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0150,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Don't know,Approve,Approve,Don't know,Disapprove,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0151,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Don't know,Don't know,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0152,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Don't know,Approve,Don't know,Approve,Disapprove,Don't know,Approve,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0153,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Approve,Disapprove,Disapprove,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0154,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Approve,Approve,Approve,Don't know,Approve,Approve,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0155,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Don't know,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0156,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Approve,Approve,Don't know,Don't know,Approve,Disapprove,Don't know,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0157,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Approve,Approve,Disapprove,Approve,Approve,Don't know,Approve,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0158,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Approve,Don't know,Approve,Disapprove,Approve,Disapprove,Don't know,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0159,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Approve,Don't know,Approve,Disapprove,Don't know,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0000,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Don't know,Approve,Approve,Approve,Don't know,Approve,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0001,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Approve,Approve,Don't know,Approve,Don't know,Don't know,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0002,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve,Don't know,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0003,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Disapprove,Don't know,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0004,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Disapprove,Disapprove,Don't know,Don't know,Approve,Don't know,Don't know,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0005,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Approve,Don't know,Don't know,Disapprove,Don't know,Approve,Approve,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0006,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Disapprove,Don't know,Approve,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0007,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Don't know,Approve,Don't know,Don't know,Don't know,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0008,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Don't know,Approve,Disapprove,Don't know,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0009,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Don't know,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0010,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Approve,Approve,Don't know,Don't know,Approve,Disapprove,Approve,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0011,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Approve,Don't know,Approve,Disapprove,Approve,Don't know,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0012,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0013,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Don't know,Approve,Don't know,Don't know,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0014,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Disapprove,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0015,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Don't know,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0016,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Approve,Approve,Approve,Don't know,Approve,Approve,Disapprove,Don't know,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0017,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Disapprove,Disapprove,Disapprove,Don't know,Don't know,Approve,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0018,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Don't know,Approve,Approve,Approve,Approve,Approve,Don't know,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0019,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Don't know,Approve,Approve,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0020,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Approve,Don't know,Don't know,Approve,Approve,Approve,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0021,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Don't know,Approve,Don't know,Approve,Approve,Don't know,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0022,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Don't know,Disapprove,Approve,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0023,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Approve,Don't know,Don't know,Approve,Don't know,Approve,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0024,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Approve,Approve,Disapprove,Disapprove,Don't know,Don't know,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0025,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Don't know,Don't know,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0026,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Approve,Don't know,Disapprove,Approve,Don't know,Disapprove,Don't know,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0027,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Disapprove,Don't know,Approve,Disapprove,Don't know,Approve,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0028,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0029,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Approve,Disapprove,Approve,Don't know,Don't know,Disapprove,Disapprove,Approve,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0030,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Approve,Approve,Disapprove,Don't know,Disapprove,Approve,Approve,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0031,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Don't know,Approve,Disapprove,Don't know,Approve,Approve,Don't know,Don't know,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0032,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Don't know,Don't know,Approve,Approve,Don't know,Don't know,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0033,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Approve,Don't know,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0034,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Don't know,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Approve,Don't know,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0035,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0036,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0037,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Approve,Approve,Disapprove,Don't know,Approve,Disapprove,Don't know,Don't know,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0038,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Don't know,Approve,Don't know,Approve,Approve,Approve,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0039,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Don't know,Disapprove,Approve,Approve,Don't know,Approve,Approve,Don't know,Don't know,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0040,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Approve,Disapprove,Approve,Disapprove,Approve,Don't know,Don't know,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0041,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Don't know,Don't know,Don't know,Don't know,Don't know,Approve,Don't know,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0042,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0043,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Approve,Don't know,Don't know,Don't know,Disapprove,Don't know,Don't know,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0044,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Disapprove,Approve,Approve,Don't know,Disapprove,Approve,Approve,Disapprove,Don't know,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0045,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0046,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Approve,Don't know,Approve,Disapprove,Approve,Disapprove,Don't know,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0047,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Don't know,Disapprove,Disapprove,Approve,Don't know,Disapprove,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0048,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Approve,Approve,Approve,Don't know,Approve,Approve,Don't know,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0049,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Disapprove,Don't know,Approve,Approve,Don't know,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0050,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Disapprove,Don't know,Disapprove,Approve,Don't know,Approve,Don't know,Approve,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0051,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Approve,Don't know,Don't know,Approve,Don't know,Disapprove,Don't know,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0052,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Approve,Don't know,Disapprove,Disapprove,Don't know,Don't know,Approve,Don't know,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0053,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0054,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Approve,Disapprove,Approve,Don't know,Don't know,Don't know,Disapprove,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0055,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0056,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Approve,Disapprove,Disapprove,Don't know,Approve,Disapprove,Approve,Don't know,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0057,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve,Don't know,Disapprove,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0058,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0059,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0060,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Disapprove,Don't know,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0061,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Approve,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0062,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Don't know,Don't know,Approve,Don't know,Approve,Disapprove,Disapprove,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0063,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Don't know,Approve,Don't know,Disapprove,Disapprove,Approve,Approve,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0064,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Don't know,Don't know,Approve,Approve,Don't know,Approve,Disapprove,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0065,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Don't know,Don't know,Disapprove,Approve,Approve,Approve,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0066,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Approve,Don't know,Don't know,Don't know,Approve,Disapprove,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0067,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Disapprove,Approve,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0068,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Disapprove,Approve,Don't know,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0069,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Approve,Approve,Approve,Approve,Approve,Approve,Don't know,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0070,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Disapprove,Approve,Don't know,Approve,Don't know,Disapprove,Approve,Disapprove,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0071,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Disapprove,Don't know,Approve,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0072,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Approve,Disapprove,Approve,Approve,Approve,Don't know,Disapprove,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0073,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Don't know,Approve,Approve,Disapprove,Disapprove,Don't know,Don't know,Approve,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0074,tax_and_invest_moderates,Tax-and-invest moderates,,base,mainstream,Don't know,Approve,Don't know,Approve,Disapprove,Don't know,Disapprove,Disapprove,Disapprove,Approve,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0075,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Approve,Don't know,Approve,Approve,Disapprove,Approve,Don't know,Approve,Approve,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0076,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Don't know,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0077,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Don't know,Don't know,Don't know,Don't know,Don't know,Disapprove,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0078,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Don't know,Approve,Don't know,Disapprove,Disapprove,Don't know,Approve,Disapprove,Approve,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0079,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0080,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Approve,Don't know,Don't know,Approve,Don't know,Approve,Approve,Disapprove,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0081,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Disapprove,Approve,Approve,Don't know,Approve,Don't know,Disapprove,Don't know,Disapprove,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0082,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Approve,Approve,Approve,Approve,Approve,Don't know,Approve,Don't know,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0083,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Disapprove,Approve,Approve,Approve,Disapprove,Don't know,Disapprove,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0084,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Don't know,Approve,Disapprove,Approve,Approve,Approve,Don't know,Don't know,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0085,tax_and_invest_moderates,Tax-and-invest moderates,,base,promoter,Approve,Disapprove,Don't know,Disapprove,Approve,Disapprove,Approve,Approve,Don't know,Disapprove,Don't know
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0086,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Don't know,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve
sample_en_pew_policy_topline_tax_and_invest_moderates___base___0087,tax_and_invest_moderates,Tax-and-invest moderates,,base,skeptical,Approve,Approve,Approve,Approve,Don't know,Disapprove,Don't know,Approve,Don't know,Don't know,Approve
